"Country/Region","cases","deaths","Lat","Long"
"Mongolia",1007900,2136,46.8625,103.8467
"Montenegro",288808,2808,42.708678,19.37439
"Morocco",1272490,16296,31.7917,-7.0926
"Namibia",171156,4090,-22.9576,18.4904
"Nauru",5247,1,-0.5228,166.9315
"Nepal",1001154,12020,28.1667,84.25
"Netherlands",8712835,23705,12.5211,-69.9683
"Netherlands",8712835,23705,12.1784,-68.2385
"Netherlands",8712835,23705,12.1696,-68.99
"Netherlands",8712835,23705,18.0425,-63.0548
"Netherlands",8712835,23705,52.1326,5.2913
"New Zealand",2236114,2550,-21.2367,-159.7777
"New Zealand",2236114,2550,-19.0544,-169.8672
"New Zealand",2236114,2550,-40.9006,174.886
"Nicaragua",15655,245,12.865416,-85.207229
"Niger",9508,315,17.607789,8.081666
"Nigeria",266598,3155,9.082,8.6753
"North Macedonia",346852,9662,41.6086,21.7453
"Norway",1479506,5213,60.472,8.4689
"Oman",399449,4628,21.512583,55.923255
"Pakistan",1577411,30644,30.3753,69.3451
"Palau",5991,9,7.515,134.5825
"Panama",1031731,8609,8.538,-80.7821
"Papua New Guinea",46825,670,-6.314993,143.95555
"Paraguay",808401,19878,-23.4425,-58.4438
"Peru",4487553,219539,-9.19,-75.0152
"Philippines",4077452,66188,12.879721,121.774017
"Poland",6444960,119010,51.9194,19.1451
"Portugal",5570473,26266,39.3999,-8.2245
"Qatar",495090,688,25.3548,51.1839
"Romania",3346046,67736,45.9432,24.9668
"Russia",22075858,388478,61.52401,105.318756
"Rwanda",133194,1468,-1.9403,29.8739
"Saint Kitts and Nevis",6597,47,17.357822,-62.782998
"Saint Lucia",30004,409,13.9094,-60.9789
"Saint Vincent and the Grenadines",9589,123,12.9843,-61.2872
"Samoa",16607,29,-13.759,-172.1046
"San Marino",23616,122,43.9424,12.4578
"Sao Tome and Principe",6281,77,0.1864,6.6131
"Saudi Arabia",830127,9618,23.885942,45.079162
"Senegal",88926,1971,14.4974,-14.4524
"Serbia",2500142,17881,44.0165,21.0059
"Seychelles",50665,172,-4.6796,55.492
"Sierra Leone",7760,126,8.460555,-11.779889
"Singapore",2235294,1722,1.2833,103.8333
"Slovakia",2667551,21035,48.669,19.699
"Slovenia",1331707,7078,46.1512,14.9955
"Solomon Islands",24575,153,-9.6457,160.1562
"Somalia",27324,1361,5.152149,46.199616
"South Africa",4067067,102595,-30.5595,22.9375
"South Sudan",18368,138,6.877,31.307
"Spain",13770429,119479,40.463667,-3.74922
"Sri Lanka",672039,16830,7.873054,80.771797
"Sudan",63829,5017,12.8628,30.2176
"Summer Olympics 2020",865,0,35.6491,139.7737
"Suriname",82467,1404,3.9193,-56.0278
"Sweden",2699339,23777,60.128161,18.643501
"Switzerland",4413911,14210,46.8182,8.2275
"Taiwan*",9970937,17672,23.7,121
"Tajikistan",17786,125,38.861,71.2761
"Tanzania",42906,846,-6.369028,34.888822
"Thailand",4728182,33918,15.870032,100.992541
"Togo",39396,290,8.6195,0.8248
"Tonga",16810,13,-21.179,-175.1982
"Trinidad and Tobago",189918,4355,10.6918,-61.2225
"Tunisia",1151126,29341,33.886917,9.537499
"Turkey",17042722,101492,38.9637,35.2433
"Tuvalu",2805,0,-7.1095,177.6493
"US",103802702,1123836,40,-100
"Uganda",170544,3630,1.373333,32.290275
"Ukraine",5711929,119283,48.3794,31.1656
"United Arab Emirates",1053213,2349,23.424076,53.847818
"United Kingdom",24658705,220721,18.2206,-63.0686
"United Kingdom",24658705,220721,32.3078,-64.7505
"United Kingdom",24658705,220721,18.4207,-64.64
"United Kingdom",24658705,220721,19.3133,-81.2546
"United Kingdom",24658705,220721,49.3723,-2.3644
"United Kingdom",24658705,220721,-51.7963,-59.5236
"United Kingdom",24658705,220721,36.1408,-5.3536
"United Kingdom",24658705,220721,49.448196,-2.58949
"United Kingdom",24658705,220721,54.2361,-4.5481
"United Kingdom",24658705,220721,49.2138,-2.1358
"United Kingdom",24658705,220721,16.742498,-62.187366
"United Kingdom",24658705,220721,-24.3768,-128.3242
"United Kingdom",24658705,220721,-7.9467,-14.3559
"United Kingdom",24658705,220721,21.694,-71.7979
"United Kingdom",24658705,220721,55.3781,-3.436
"Uruguay",1034303,7617,-32.5228,-55.7658
"Uzbekistan",251247,1637,41.377491,64.585262
"Vanuatu",12014,14,-15.3767,166.9592
"Venezuela",552162,5854,6.4238,-66.5897
"Vietnam",11526994,43186,14.058324,108.277199
"West Bank and Gaza",703228,5708,31.9522,35.2332
"Winter Olympics 2022",535,0,39.9042,116.4074
"Yemen",11945,2159,15.552727,48.516388
"Zambia",343135,4057,-13.133897,27.849332
"Zimbabwe",264276,5671,-19.015438,29.154857
